date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
07/15/1999 12:00:00 AM,2.35,7.36,,4.77,95.7,,,
06/15/2012 12:00:00 AM,5.39,12.86,100,8.68,92.1,6.15,6,
12/15/2009 12:00:00 AM,4.98,7.87,100,7.34,94.2,6.49,0.5,5.81
10/15/1996 12:00:00 AM,2.58,4.99,,3.69,89.1,,,
02/15/1998 12:00:00 AM,2.56,4.65,,4.37,95.1,,,
01/15/2014 12:00:00 AM,4.88,7.66,100,7.39,95.4,6.28,9.4,
03/15/2001 12:00:00 AM,4.75,8.96,,8.47,85.7,10.38,0,
03/15/2003 12:00:00 AM,4.9,5.58,100,5.19,94.8,4.75,0.3,5.12
03/15/2012 12:00:00 AM,4.07,8.63,100,7.32,92.7,6.08,7.8,
02/15/2009 12:00:00 AM,5.38,8.92,100,7.44,95,5.87,0.8,4.19
04/15/1997 12:00:00 AM,2.52,4.71,,3.98,93.9,,,
11/15/1991 12:00:00 AM,2.69,4.62,,4.04,94.7,,,
08/15/2004 12:00:00 AM,2.58,11.26,100,8.00,91.6,5.88,2.3,6.16
07/15/2002 12:00:00 AM,1.95,9.40,100,5.84,95.3,4.30,2.1,1.91
12/15/1997 12:00:00 AM,2.57,4.73,,4.43,93,,,
12/15/2001 12:00:00 AM,2.93,5.32,,4.84,100,5.12,0.1,
11/15/1998 12:00:00 AM,2.18,5.28,,3.86,94,,,
09/15/1993 12:00:00 AM,3.14,5.58,,4.05,95.2,,,
04/15/1992 12:00:00 AM,2.75,4.52,,4.01,95.7,,,
03/15/2016 12:00:00 AM,3.43,6.68,100,5.92,94.6,4.95,8.9,
03/15/1995 12:00:00 AM,2.56,4.60,,4.28,95.1,,,
11/15/2007 12:00:00 AM,5.52,7.97,100,7.45,98.8,6.04,0.2,4.41
09/15/2008 12:00:00 AM,6.24,10.79,100,9.24,94,15.93,0.4,3.42
05/15/2004 12:00:00 AM,4.76,9.43,100,7.43,90.8,6.59,0.8,5.59
09/15/2005 12:00:00 AM,4.2,13.50,100,10.38,95.1,8.56,0.5,8.46
09/15/2000 12:00:00 AM,3.32,9.36,,6.13,99.1,,,
02/15/1994 12:00:00 AM,3.17,4.59,,4.27,96.1,,,
10/15/1992 12:00:00 AM,2.98,5.37,,4.19,91.2,,,
09/15/1995 12:00:00 AM,2.89,6.62,,4.76,89.3,,,
07/15/1996 12:00:00 AM,2.3,6.23,,3.91,88,,,
12/15/2008 12:00:00 AM,6.07,8.81,100,8.50,96.2,9.01,0.5,5.54
12/15/2004 12:00:00 AM,6.17,8.87,100,8.33,93,10.51,0,6.45
11/15/2014 12:00:00 AM,4.61,8.08,100,7.92,95.7,6.51,9.7,
09/15/2012 12:00:00 AM,5.49,11.40,100,8.43,91,5.97,4,
11/15/1997 12:00:00 AM,3.59,5.18,,4.39,89.8,,,
01/15/2004 12:00:00 AM,5.21,7.43,100,6.89,99.6,9.06,0.1,5.73
10/15/1999 12:00:00 AM,2.46,6.21,,4.66,97.8,,,
